"aphiaID","Kingdom","Phylum","Subphylum","Class","Order","Family","Superclass","Infraclass","Superorder","Subclass","Suborder","Infraorder","Genus","Subterclass","Superfamily","Infraphylum","Parvphylum","Gigaclass","Subkingdom","Infrakingdom","Parvorder","Subfamily","Species","rank"
128595,"Animalia","Arthropoda","Crustacea","Copepoda","Cyclopoida","Sapphirinidae","Multicrustacea","Neocopepoda","Podoplea",NA,"Ergasilida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
135220,"Animalia","Cnidaria","Medusozoa","Scyphozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
135335,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Siphonophorae",NA,NA,NA,NA,"Hydroidolina","Physonectae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suborder"
135336,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Siphonophorae","Abylidae",NA,NA,NA,"Hydroidolina","Calycophorae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
135338,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Siphonophorae","Diphyidae",NA,NA,NA,"Hydroidolina","Calycophorae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
136093,"Animalia","Arthropoda","Crustacea","Malacostraca","Stomatopoda","Squillidae","Multicrustacea",NA,NA,"Hoplocarida","Unipeltata",NA,NA,NA,"Squilloidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
137212,"Animalia","Chordata","Tunicata","Thaliacea","Doliolida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
137214,"Animalia","Chordata","Tunicata","Thaliacea","Salpida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
137687,"Animalia","Mollusca",NA,"Gastropoda","Littorinimorpha","Atlantidae",NA,NA,NA,"Caenogastropoda",NA,NA,"Atlanta",NA,"Pterotracheoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
137793,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda","Clionidae",NA,"Euthyneura",NA,"Heterobranchia","Gymnosomata",NA,"Clione","Tectipleura","Clionoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
139029,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda","Cavoliniidae",NA,"Euthyneura",NA,"Heterobranchia","Euthecosomata",NA,"Cavolinia","Tectipleura","Cavolinioidea",NA,NA,NA,NA,NA,NA,"Cavoliniinae","Cavolinia inflexa","Species"
152391,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
411905,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda","Creseidae",NA,"Euthyneura",NA,"Heterobranchia","Euthecosomata",NA,NA,"Tectipleura","Cavolinioidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
582419,"Chromista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harosa",NA,NA,NA,NA,"Subkingdom"
586732,"Chromista","Radiozoa",NA,"Acantharia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harosa","Rhizaria",NA,NA,NA,"Class"
1379066,"Animalia","Bryozoa",NA,"Gymnolaemata","Cheilostomatida","Electridae",NA,NA,NA,NA,"Membraniporina",NA,"Cyphonautes",NA,"Membraniporoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
1583577,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Palinuridae","Multicrustacea",NA,"Eucarida","Eumalacostraca","Pleocyemata","Achelata","Phyllosoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
